iter	RMSE
0	14045146.12
1	13591938.86
2	13169690.63
3	12776891.86
4	12404592.32
5	12054068.35
6	11723354.72
7	11408209.09
8	11122480.39
9	10848865.91
10	10588271.14
11	10352781.91
12	10126965.65
13	9918124.502
14	9730106.501
15	9546118.346
16	9381195.857
17	9217960.066
18	9062786.436
19	8928762.034
20	8799916.754
21	8678349.839
22	8559224.323
23	8450994.186
24	8351547.155
25	8255308.488
26	8173989.065
27	8091310.151
28	8007194.658
29	7937425.107
30	7868711.396
31	7815243.715
32	7756286.103
33	7704648.995
34	7652933.866
35	7603611.062
36	7559197.588
37	7520716.922
38	7485069.446
39	7453059.582
40	7417720.764
41	7388306.394
42	7356304.024
43	7328847.868
44	7301080.334
45	7274268.852
46	7252142.83
47	7230980.917
48	7209193.431
49	7186541.634
50	7165959.557
51	7148394.143
52	7124265.026
53	7102481.849
54	7081156.687
55	7062844.358
56	7046651.007
57	7028424.008
58	7014166.025
59	6997143.346
60	6981007.782
61	6972382.138
62	6956741.34
63	6941901.327
64	6929509.69
65	6920766.997
66	6908688.03
67	6898770.169
68	6891463.481
69	6878869.8
70	6870280.717
71	6860998.611
72	6852499.601
73	6842138.259
74	6836636.162
75	6831381.582
76	6823985.599
77	6814052.275
78	6809020.506
79	6800036.629
80	6791271.176
81	6784092.745
82	6776269.628
83	6771279.758
84	6768129.173
85	6760844.995
86	6758351.693
87	6754568.216
88	6749136.457
89	6744843.842
90	6739657.139
91	6734147.961
92	6728126.284
93	6723239.871
94	6719377.173
95	6713856.694
96	6709523.007
97	6706399.634
98	6701512.572
99	6696725.392
100	6690128.766
101	6686280.394
102	6681282.784
103	6676579.288
104	6673257.393
105	6669236.855
106	6664551.667
107	6660486.156
108	6658159.714
109	6655392.19
110	6650621.671
111	6646884.661
112	6642460.289
113	6639960.85
114	6637237.542
115	6633763.548
116	6630706.245
117	6626418.402
118	6623283.732
119	6619089.182
120	6613521.401
121	6610503.977
122	6605812.491
123	6602404.995
124	6599159.309
125	6595650.334
126	6591970.175
127	6588037.649
128	6584438.116
129	6581408.521
130	6579317.644
131	6575939.569
132	6572875.441
133	6567967.427
134	6562898.989
135	6559332.114
136	6556306.776
137	6552076.187
138	6548968.71
139	6547861.857
140	6545212.851
141	6543944.461
142	6542259.161
143	6538924.614
144	6535536.356
145	6533301.959
146	6529210.48
147	6525543.523
148	6523568.983
149	6520530.37
150	6518428.731
151	6517244.96
152	6514841.342
153	6512409.313
154	6509230.961
155	6505847.554
156	6502723.642
157	6498446.092
158	6496822.772
159	6494613.238
160	6491731.65
161	6489083.844
162	6486938.916
163	6484022.42
164	6479755.314
165	6476868.613
166	6475501.485
167	6473592.017
168	6472440.648
169	6469490.304
170	6464302.004
171	6462097.869
172	6459130.127
173	6456366.902
174	6454347.071
175	6451512.933
176	6447551.96
177	6444942.956
178	6441195.89
179	6438474.803
180	6436455.61
181	6432284.991
182	6430030.56
183	6428044.787
184	6426533.058
185	6424106.491
186	6421894.402
187	6418083.652
188	6415336.771
189	6412038.501
190	6409569.222
191	6406873.215
192	6404134.307
193	6402219.76
194	6398548.048
195	6396347.403
196	6393683.678
197	6392430.253
198	6389439.036
199	6386412.83
200	6385083.934
201	6382016.85
202	6379400.539
203	6377773.834
204	6375266.42
205	6373170.735
206	6370038.372
207	6367955.714
208	6364452.052
209	6358624.899
210	6355765.486
211	6354039.397
212	6351118.251
213	6347830.697
214	6346758.103
215	6344427.45
216	6342853.088
217	6340281.382
218	6337624.593
219	6333900.561
220	6331894.567
221	6330550.968
222	6327570.878
223	6325926.112
224	6324330.229
225	6322489.297
226	6321101.775
227	6319113.832
228	6317052.095
229	6316178.375
230	6314935.457
231	6313722.797
232	6310810.938
233	6307926.074
234	6306327.911
235	6303422.342
236	6301355.132
237	6299099.934
238	6295736.097
239	6293368.298
240	6290749.902
241	6289970.038
242	6286917.702
243	6285192.73
244	6282082.077
245	6279879.984
246	6276205.51
247	6274166.941
248	6271856.04
249	6269819.476
250	6266898.775
251	6263936.913
252	6261821.169
253	6260121.893
254	6256024.594
255	6253585.17
256	6251541.25
257	6249256.684
258	6247793.646
259	6244687.314
260	6243815.416
261	6241512.688
262	6238067.577
263	6236327.411
264	6234579.691
265	6232154.141
266	6231148.43
267	6227901.663
268	6226088.719
269	6218444.557
270	6215608.407
271	6213904.22
272	6211739.53
273	6209702.302
274	6208458.292
275	6206676.278
276	6204284.922
277	6203677.347
278	6202355.84
279	6201215.857
280	6199628.126
281	6197897.637
282	6194996.556
283	6193546.826
284	6191097.273
285	6185029.963
286	6183589.898
287	6182009.073
288	6180743.917
289	6177792.85
290	6173313.582
291	6170541.991
292	6168852.177
293	6168121.118
294	6167040.247
295	6165619.235
296	6164770.341
297	6162469.443
298	6161115.462
299	6159128.693
300	6157595.214
301	6156049.787
302	6155413.813
303	6154671.662
304	6152801.814
305	6151501.302
306	6150241.173
307	6149044.216
308	6146217.984
309	6144781.2
310	6142679.76
311	6139933.14
312	6138584.533
313	6136713.294
314	6135366.261
315	6134589.317
316	6133890.535
317	6131695.486
318	6131257.645
319	6129940.22
320	6128209.184
321	6125722.869
322	6123777.862
323	6122450.514
324	6120130.498
325	6118525.684
326	6117357.476
327	6116381.472
328	6115746.149
329	6114153.934
330	6113532.136
331	6112578.663
332	6110681.081
333	6107979.95
334	6106636.681
335	6105541.408
336	6104758.461
337	6103883.275
338	6102295.944
339	6102037.562
340	6100268.34
341	6098936.834
342	6096847.192
343	6095460.652
344	6093926.734
345	6093404.194
346	6090929.703
347	6089575.488
348	6088152.746
349	6087221.847
350	6086143.508
351	6083856.651
352	6082881.736
353	6081900.654
354	6080200.608
355	6077834.852
356	6075806.114
357	6073717.564
358	6071791.82
359	6070927.219
360	6068873.126
361	6067660
362	6065366.7
363	6064520.752
364	6062859.456
365	6062045.802
366	6060779.081
367	6058898.539
368	6056722.758
369	6056305
370	6054881.842
371	6053705.947
372	6051882.4
373	6050187.593
374	6048729.206
375	6047749.08
376	6046945.582
377	6045444.767
378	6044987.072
379	6044241.409
