iter	Passed	Remaining
0	110	110065
1	155	77582
2	185	61665
3	224	56013
4	258	51384
5	281	46649
6	293	41642
7	317	39340
8	339	37417
9	359	35593
10	376	33881
11	394	32466
12	413	31404
13	432	30481
14	454	29876
15	473	29091
16	493	28551
17	512	27960
18	539	27837
19	558	27350
20	576	26861
21	599	26671
22	627	26635
23	662	26955
24	686	26771
25	708	26551
26	725	26142
27	754	26198
28	770	25809
29	795	25719
30	825	25812
31	855	25893
32	882	25862
33	901	25620
34	936	25823
35	969	25963
36	1001	26078
37	1018	25787
38	1046	25786
39	1059	25434
40	1071	25054
41	1092	24928
42	1122	24990
43	1167	25363
44	1181	25080
45	1211	25122
46	1228	24918
47	1239	24579
48	1254	24349
49	1266	24062
50	1285	23912
51	1315	23978
52	1349	24116
53	1374	24077
54	1387	23833
55	1402	23643
56	1421	23522
57	1449	23542
58	1467	23403
59	1501	23527
60	1534	23619
61	1571	23781
62	1592	23680
63	1613	23592
64	1627	23412
65	1644	23271
66	1664	23181
67	1689	23157
68	1716	23165
69	1740	23120
70	1767	23131
71	1793	23115
72	1826	23195
73	1856	23226
74	1891	23333
75	1911	23241
76	1931	23155
77	1948	23034
78	1958	22831
79	1984	22821
80	1999	22691
81	2035	22788
82	2072	22902
83	2093	22828
84	2110	22718
85	2137	22714
86	2152	22589
87	2176	22554
88	2214	22668
89	2250	22750
90	2280	22781
91	2312	22827
92	2331	22739
93	2339	22552
94	2348	22371
95	2360	22229
96	2371	22074
97	2379	21903
98	2401	21856
99	2428	21856
100	2438	21707
101	2454	21608
102	2474	21546
103	2488	21442
104	2516	21452
105	2537	21401
106	2562	21387
107	2588	21375
108	2600	21254
109	2619	21196
110	2650	21230
111	2686	21302
112	2706	21246
113	2720	21141
114	2731	21019
115	2766	21080
116	2789	21054
117	2818	21070
118	2863	21197
119	2910	21342
120	2934	21319
121	2985	21483
122	3004	21420
123	3023	21361
124	3041	21291
125	3056	21200
126	3070	21108
127	3097	21099
128	3113	21021
129	3145	21048
130	3175	21062
131	3193	20996
132	3222	21007
133	3242	20957
134	3267	20937
135	3278	20825
136	3286	20700
137	3300	20618
138	3326	20607
139	3339	20514
140	3353	20430
141	3359	20296
142	3383	20279
143	3397	20199
144	3408	20097
145	3419	20000
146	3437	19946
147	3460	19921
148	3471	19827
149	3485	19748
150	3502	19694
151	3519	19633
152	3547	19639
153	3556	19538
154	3565	19436
155	3576	19351
156	3595	19307
157	3613	19256
158	3629	19194
159	3641	19119
160	3651	19029
161	3664	18954
162	3672	18859
163	3683	18775
164	3691	18681
165	3705	18614
166	3724	18577
167	3761	18627
168	3776	18568
169	3804	18576
170	3841	18622
171	3862	18593
172	3903	18659
173	3932	18670
174	3959	18666
175	3988	18674
176	4010	18647
177	4029	18607
178	4054	18596
179	4072	18553
180	4091	18515
181	4114	18494
182	4132	18447
183	4148	18399
184	4172	18381
185	4200	18383
186	4216	18333
187	4242	18322
188	4289	18406
189	4338	18497
190	4371	18516
191	4389	18474
192	4427	18511
193	4468	18564
194	4521	18665
195	4549	18660
196	4591	18717
197	4630	18754
198	4683	18850
199	4695	18780
200	4719	18759
201	4745	18745
202	4765	18708
203	4778	18645
204	4793	18587
205	4802	18511
206	4818	18459
207	4832	18401
208	4846	18342
209	4895	18416
210	4910	18363
211	4961	18443
212	5000	18476
213	5050	18550
214	5090	18587
215	5120	18585
216	5132	18518
217	5149	18470
218	5178	18466
219	5200	18439
220	5217	18391
221	5245	18383
222	5266	18348
223	5278	18285
224	5290	18224
225	5304	18166
226	5314	18096
227	5334	18061
228	5361	18049
229	5401	18084
230	5422	18050
231	5440	18008
232	5459	17973
233	5478	17933
234	5493	17881
235	5520	17870
236	5538	17831
237	5567	17826
238	5594	17812
239	5614	17779
240	5637	17755
241	5659	17726
242	5682	17701
243	5699	17657
244	5719	17625
245	5732	17570
246	5744	17512
247	5759	17463
248	5781	17437
249	5801	17403
250	5818	17362
251	5840	17336
252	5857	17295
253	5904	17342
254	5931	17328
255	5963	17331
256	5992	17323
257	6018	17309
258	6033	17261
259	6051	17223
260	6081	17218
261	6123	17249
262	6148	17230
263	6172	17208
264	6188	17163
265	6208	17131
266	6228	17098
267	6244	17055
268	6258	17007
269	6280	16980
270	6304	16959
271	6325	16929
272	6354	16922
273	6393	16940
274	6429	16950
275	6459	16945
276	6481	16918
277	6490	16856
278	6507	16816
279	6526	16783
280	6564	16796
281	6606	16819
282	6630	16799
283	6653	16774
284	6678	16754
285	6701	16731
286	6721	16699
287	6738	16658
288	6759	16628
289	6782	16604
290	6797	16561
291	6818	16533
292	6840	16505
293	6853	16457
294	6873	16426
295	6892	16393
296	6915	16368
297	6929	16323
298	6943	16279
299	6956	16230
300	6979	16207
301	7004	16188
302	7026	16163
303	7048	16137
304	7069	16109
305	7085	16070
306	7100	16027
307	7114	15985
308	7136	15957
309	7146	15907
310	7160	15864
311	7189	15853
312	7207	15819
313	7228	15792
314	7243	15751
315	7275	15749
316	7289	15705
317	7303	15663
318	7331	15651
319	7349	15618
320	7369	15588
321	7387	15554
322	7405	15520
323	7429	15500
324	7463	15501
325	7489	15483
326	7509	15454
327	7528	15423
328	7565	15429
329	7608	15448
330	7632	15427
331	7657	15407
332	7689	15402
333	7732	15418
334	7758	15402
335	7785	15384
336	7827	15399
337	7861	15396
338	7896	15397
339	7926	15386
340	7961	15385
341	7986	15366
342	8032	15385
343	8109	15465
344	8143	15460
345	8161	15427
346	8174	15383
347	8270	15495
348	8322	15523
349	8399	15598
350	8430	15588
351	8514	15675
352	8555	15681
353	8601	15697
354	8650	15717
355	8668	15680
356	8708	15684
357	8739	15673
358	8804	15720
359	8891	15806
360	8920	15790
361	8943	15762
362	8981	15760
363	9007	15738
364	9036	15721
365	9051	15679
366	9063	15632
367	9071	15579
368	9085	15537
369	9185	15640
370	9233	15654
371	9276	15660
372	9297	15628
373	9341	15635
374	9365	15609
375	9384	15574
376	9404	15540
377	9422	15504
378	9460	15500
379	9487	15479
380	9511	15453
381	9535	15427
382	9558	15398
383	9584	15375
384	9610	15351
385	9640	15334
386	9687	15344
387	9727	15342
388	9789	15375
389	9833	15380
390	9860	15358
391	9879	15323
392	9894	15282
393	9933	15278
394	9987	15297
395	10024	15289
396	10060	15280
397	10114	15298
398	10143	15279
399	10222	15334
400	10266	15335
401	10291	15309
402	10299	15258
403	10307	15205
404	10316	15156
405	10325	15106
406	10330	15051
407	10337	14999
408	10346	14950
409	10354	14900
410	10362	14850
411	10370	14800
412	10375	14747
